date,url,contract,current_price,average_price,number_deals,volume_MT,amount_RUB
2018-12-25,https://fs.moex.com/files/18242/30010,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-25,https://fs.moex.com/files/18242/30010,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-25,https://fs.moex.com/files/18242/30010,FSGCFO,37004.0,37004.0,2.0,40.0,1480160.0
2018-12-25,https://fs.moex.com/files/18242/30010,FSGYFO,37004.0,37004.0,2.0,140.0,5180560.0
2018-12-25,https://fs.moex.com/files/18242/30010,FSGCFO,37004.0,37004.0,2.0,40.0,1480160.0
2018-12-24,https://fs.moex.com/files/18239/30005,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-24,https://fs.moex.com/files/18239/30005,FSGCFO,37004.0,37004.0,1.0,20.0,740080.0
2018-12-24,https://fs.moex.com/files/18239/30005,FSGYFO,37004.0,37004.0,3.0,100.0,3700400.0
2018-12-24,https://fs.moex.com/files/18239/30005,FSGYFO,37004.0,37004.0,3.0,100.0,3700400.0
2018-12-24,https://fs.moex.com/files/18239/30005,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-24,https://fs.moex.com/files/18239/30005,FSGCFO,37004.0,37004.0,1.0,20.0,740080.0
2018-12-21,https://fs.moex.com/files/18234/30000,FSGCFO,37004.0,37002.0,2.0,80.0,2960160.0
2018-12-21,https://fs.moex.com/files/18234/30000,FSGYFO,37004.0,37004.0,1.0,40.0,1480160.0
2018-12-21,https://fs.moex.com/files/18234/30000,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-20,https://fs.moex.com/files/18224/29982,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-20,https://fs.moex.com/files/18224/29982,FSGCFO,37004.0,37004.0,1.0,40.0,1480160.0
2018-12-20,https://fs.moex.com/files/18224/29982,FSGYFO,37500.0,,0.0,0.0,0.0
2018-12-19,https://fs.moex.com/files/18220/29976,FSGCFO,37004.0,,0.0,0.0,0.0
2018-12-19,https://fs.moex.com/files/18220/29976,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-19,https://fs.moex.com/files/18220/29976,FSGYFO,37500.0,37417.33333,3.0,240.0,8980160.0
2018-12-18,https://fs.moex.com/files/18217/29972,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-18,https://fs.moex.com/files/18217/29972,FSGCFO,37004.0,,0.0,0.0,0.0
2018-12-18,https://fs.moex.com/files/18217/29972,FSGYFO,37004.0,,0.0,0.0,0.0
2018-12-17,https://fs.moex.com/files/18211/29963,FSGYFO,37004.0,37004.0,1.0,40.0,1480160.0
2018-12-17,https://fs.moex.com/files/18211/29963,FSGCFO,37004.0,37003.07692,4.0,260.0,9620800.0
2018-12-17,https://fs.moex.com/files/18211/29963,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-14,https://fs.moex.com/files/18205/29942,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-14,https://fs.moex.com/files/18205/29942,FSGCFO,36700.0,36915.86667,6.0,300.0,11074760.0
2018-12-14,https://fs.moex.com/files/18205/29942,FSGYFO,37004.0,37004.0,1.0,100.0,3700400.0
2018-12-13,https://fs.moex.com/files/18192/29926,FSGCFO,37004.0,37004.0,1.0,120.0,4440480.0
2018-12-13,https://fs.moex.com/files/18192/29926,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-13,https://fs.moex.com/files/18192/29926,FSGYFO,37004.0,37003.33333,2.0,120.0,4440400.0
2018-12-12,https://fs.moex.com/files/18176/29904,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-12,https://fs.moex.com/files/18176/29904,FSGCFO,36700.0,36610.73684,6.0,380.0,13912080.0
2018-12-12,https://fs.moex.com/files/18176/29904,FSGYFO,37004.0,37094.54545,2.0,220.0,8160800.0
2018-12-11,https://fs.moex.com/files/18171/29897,FSGYFO,37000.0,37000.0,1.0,160.0,5920000.0
2018-12-11,https://fs.moex.com/files/18171/29897,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-11,https://fs.moex.com/files/18171/29897,FSGCFO,36500.0,36518.18182,3.0,220.0,8034000.0
2018-12-10,https://fs.moex.com/files/18166/29889,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-10,https://fs.moex.com/files/18166/29889,FSGYFO,37002.0,37002.0,1.0,100.0,3700200.0
2018-12-10,https://fs.moex.com/files/18166/29889,FSGCFO,36500.0,36742.16667,6.0,240.0,8818120.0
2018-12-07,https://fs.moex.com/files/18160/29881,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-07,https://fs.moex.com/files/18160/29881,FSGCFO,37000.0,37000.0,1.0,20.0,740000.0
2018-12-07,https://fs.moex.com/files/18160/29881,FSGYFO,37004.0,37004.0,1.0,80.0,2960320.0
2018-12-06,https://fs.moex.com/files/18154/29865,FSGCFO,37004.0,36995.92,4.0,540.0,19973880.0
2018-12-06,https://fs.moex.com/files/18154/29865,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-06,https://fs.moex.com/files/18154/29865,FSGYFO,37004.0,37004.0,1.0,100.0,3700400.0
2018-12-05,https://fs.moex.com/files/18138/29837,FSGYFO,37202.0,37202.0,1.0,20.0,744040.0
2018-12-05,https://fs.moex.com/files/18138/29837,FSGCFO,37000.0,37173.14,4.0,140.0,5204240.0
2018-12-05,https://fs.moex.com/files/18138/29837,FSGPFO,37202.0,,0.0,0.0,0.0
2018-12-04,https://fs.moex.com/files/18131/29818,FSGYFO,37202.0,,0.0,0.0,0.0
2018-12-04,https://fs.moex.com/files/18131/29818,FSGPFO,37202.0,37202.0,1.0,500.0,18601000.0
2018-12-04,https://fs.moex.com/files/18131/29818,FSGCFO,37000.0,37070.7,5.0,1200.0,44484840.0
2018-12-03,https://fs.moex.com/files/18119/29787,FSGYFO,37202.0,37202.0,2.0,400.0,14880800.0
2018-12-03,https://fs.moex.com/files/18119/29787,FSGCFO,37202.0,37202.0,5.0,620.0,23065240.0
2018-12-03,https://fs.moex.com/files/18119/29787,FSGPFO,37202.0,37202.0,1.0,300.0,11160600.0
2018-11-30,https://fs.moex.com/files/18110/29775,FSGCFO,37202.0,37202.0,3.0,80.0,2976160.0
2018-11-30,https://fs.moex.com/files/18110/29775,FSGPFO,37202.0,37202.0,1.0,500.0,18601000.0
2018-11-30,https://fs.moex.com/files/18110/29775,FSGYFO,37202.0,37043.6,2.0,500.0,18521800.0
2018-11-29,https://fs.moex.com/files/18107/29765,FSGCFO,37202.0,37202.0,1.0,60.0,2232120.0
2018-11-29,https://fs.moex.com/files/18107/29765,FSGPFO,37202.0,37202.0,1.0,20.0,744040.0
2018-11-29,https://fs.moex.com/files/18107/29765,FSGYFO,37202.0,37202.0,1.0,40.0,1488080.0
2018-11-28,https://fs.moex.com/files/18093/29748,FSGPFO,37202.0,,0.0,0.0,0.0
2018-11-28,https://fs.moex.com/files/18093/29748,FSGCFO,37202.0,37202.0,3.0,140.0,5208280.0
2018-11-28,https://fs.moex.com/files/18093/29748,FSGYFO,37004.0,,0.0,0.0,0.0
2018-11-27,https://fs.moex.com/files/18089/29728,FSGYFO,37004.0,37102.4,3.0,500.0,18551200.0
2018-11-27,https://fs.moex.com/files/18089/29728,FSGPFO,37202.0,37202.0,2.0,600.0,22321200.0
2018-11-27,https://fs.moex.com/files/18089/29728,FSGCFO,37202.0,37202.0,3.0,500.0,18601000.0
2018-11-26,https://fs.moex.com/files/18077/29701,FSGPFO,37202.0,,0.0,0.0,0.0
2018-11-26,https://fs.moex.com/files/18077/29701,FSGYFO,38000.0,37274.54545,2.0,220.0,8200400.0
2018-11-26,https://fs.moex.com/files/18077/29701,FSGCFO,37202.0,37202.0,1.0,20.0,744040.0
2018-11-23,https://fs.moex.com/files/18069/29682,FSGCFO,37202.0,37202.0,3.0,260.0,9672520.0
2018-11-23,https://fs.moex.com/files/18069/29682,FSGPFO,37202.0,37202.0,1.0,300.0,11160600.0
2018-11-23,https://fs.moex.com/files/18069/29682,FSGYFO,37202.0,37103.0,2.0,800.0,29682400.0
2018-11-22,https://fs.moex.com/files/18050/29641,FSGPFO,37202.0,37202.0,3.0,520.0,19345040.0
2018-11-22,https://fs.moex.com/files/18050/29641,FSGCFO,37202.0,37202.0,2.0,140.0,5208280.0
2018-11-22,https://fs.moex.com/files/18050/29641,FSGYFO,37004.0,37004.0,3.0,440.0,16281760.0
2018-11-21,https://fs.moex.com/files/18047/29636,FSGYFO,37004.0,37004.0,3.0,400.0,14801600.0
2018-11-21,https://fs.moex.com/files/18047/29636,FSGCFO,37202.0,,0.0,0.0,0.0
2018-11-21,https://fs.moex.com/files/18047/29636,FSGPFO,37202.0,,0.0,0.0,0.0
2018-11-20,https://fs.moex.com/files/18037/29620,FSGYFO,37004.0,37288.6,3.0,140.0,5220400.0
2018-11-20,https://fs.moex.com/files/18037/29620,FSGCFO,37202.0,,0.0,0.0,0.0
2018-11-20,https://fs.moex.com/files/18037/29620,FSGPFO,37202.0,37202.0,1.0,200.0,7440400.0
2018-11-19,https://fs.moex.com/files/18030/29587,FSGPFO,37202.0,37202.0,2.0,500.0,18601000.0
2018-11-19,https://fs.moex.com/files/18030/29587,FSGYFO,37004.0,37004.0,3.0,300.0,11101200.0
2018-11-19,https://fs.moex.com/files/18030/29587,FSGCFO,37202.0,37202.0,3.0,520.0,19345040.0
2018-11-16,https://fs.moex.com/files/18024/29577,FSGCFO,37202.0,37202.0,1.0,300.0,11160600.0
2018-11-16,https://fs.moex.com/files/18024/29577,FSGPFO,37202.0,,0.0,0.0,0.0
2018-11-16,https://fs.moex.com/files/18024/29577,FSGYFO,37004.0,,0.0,0.0,0.0
2018-11-15,https://fs.moex.com/files/18015/29563,FSGCFO,37202.0,37202.0,6.0,360.0,13392720.0
2018-11-15,https://fs.moex.com/files/18015/29563,FSGYFO,37004.0,,0.0,0.0,0.0
2018-11-15,https://fs.moex.com/files/18015/29563,FSGPFO,37202.0,37169.0,2.0,300.0,11150700.0
2018-11-14,https://fs.moex.com/files/18009/29553,FSGYFO,37004.0,,0.0,0.0,0.0
2018-11-14,https://fs.moex.com/files/18009/29553,FSGPFO,38005.0,,0.0,0.0,0.0
2018-11-14,https://fs.moex.com/files/18009/29553,FSGCFO,37202.0,37146.80645,6.0,620.0,23031020.0
2018-11-13,https://fs.moex.com/files/18000/29540,FSGYFO,37004.0,37004.0,1.0,60.0,2220240.0
2018-11-13,https://fs.moex.com/files/18000/29540,FSGCFO,37004.0,36764.0,3.0,420.0,15440880.0
2018-11-13,https://fs.moex.com/files/18000/29540,FSGPFO,38005.0,,0.0,0.0,0.0
2018-11-12,https://fs.moex.com/files/17995/29528,FSGYFO,36597.0,,0.0,0.0,0.0
2018-11-12,https://fs.moex.com/files/17995/29528,FSGPFO,38005.0,,0.0,0.0,0.0
2018-11-12,https://fs.moex.com/files/17995/29528,FSGCFO,37004.0,,0.0,0.0,0.0
2018-11-09,https://fs.moex.com/files/17983/29513,FSGYFO,36597.0,,0.0,0.0,0.0
2018-11-09,https://fs.moex.com/files/17983/29513,FSGCFO,37004.0,36529.64706,5.0,340.0,12420080.0
2018-11-09,https://fs.moex.com/files/17983/29513,FSGPFO,38005.0,,0.0,0.0,0.0
2018-11-08,https://fs.moex.com/files/17976/29504,FSGCFO,37004.0,36554.0,4.0,560.0,20470240.0
2018-11-08,https://fs.moex.com/files/17976/29504,FSGPFO,38005.0,,0.0,0.0,0.0
2018-11-08,https://fs.moex.com/files/17976/29504,FSGYFO,36597.0,,0.0,0.0,0.0
2018-11-07,https://fs.moex.com/files/17956/29468,FSGYFO,36597.0,,0.0,0.0,0.0
2018-11-07,https://fs.moex.com/files/17956/29468,FSGCFO,37004.0,37004.0,1.0,60.0,2220240.0
2018-11-07,https://fs.moex.com/files/17956/29468,FSGPFO,38005.0,,0.0,0.0,0.0
2018-11-06,https://fs.moex.com/files/17948/29460,FSGYFO,36597.0,,0.0,0.0,0.0
